date,startup,vertical,subvertical,location,investor,investment_type,amount,month,year
02-05-2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurgaon,Girnar Software,Private Equity,16.304,5,2018
02-05-2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurgaon,Others,Private Equity,16.304,5,2018
02-06-2018,Foodmemories,Consumer Internet,Online Food Marketplace,Ahmedabad,Bhavesh Manglani,Seed Funding,0,6,2018
02-06-2018,Foodmemories,Consumer Internet,Online Food Marketplace,Ahmedabad,Suraj Saharan,Seed Funding,0,6,2018
02-06-2018,Foodmemories,Consumer Internet,Online Food Marketplace,Ahmedabad,Darshan Upadhyay,Seed Funding,0,6,2018
02-06-2018,Foodmemories,Consumer Internet,Online Food Marketplace,Ahmedabad,Sanjay Notani,Seed Funding,0,6,2018
02-06-2018,Foodmemories,Consumer Internet,Online Food Marketplace,Ahmedabad,Others,Seed Funding,0,6,2018
02-06-2018,Healthians,Healthcare,Preventive Health Checkup,Bangalore,Montane Ventures,Private Equity,25.271,6,2018
02-07-2018,Swiggy,Food and Beverage,Online Food Delivery,Bangalore,Naspers,Private Equity,815.2,7,2018
02-08-2018,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,S,Seed/ Angel Funding,815.2,8,2018
02-08-2018,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,eep Mathur,Seed/ Angel Funding,815.2,8,2018
02-08-2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,407.6,8,2018
02-09-2018,HealthifyMe,Healthcare,Mobile Weight Loss Coach,Bangalore,Sistema Asia Fund,Private Equity,97.824,9,2018
02-09-2018,MedTel,Healthcare,Virtual health clinics,Bhubaneswar,British,Private Equity,0,9,2018
02-09-2018,MedTel,Healthcare,Virtual health clinics,Bhubaneswar,Indian Governments,Private Equity,0,9,2018
02-09-2018,Rupeek,Consumer Internet,Online Gold Loan,Bangalore,Accel Partners,Private Equity,55.678,9,2018
02-09-2018,Rupeek,Consumer Internet,Online Gold Loan,Bangalore,Sequoia Capital,Private Equity,55.678,9,2018
02-09-2018,WebEngage,Technology,Marketing Cloud for consumer businesses,Mumbai,Social Capital,Private Equity,0,9,2018
02-12-2018,LendingKart,Finance,Online Lending Platform,Bangalore,Fullerton Financial Holdings Pte Ltd,Private Equity,709.224,12,2018
02-12-2018,LendingKart,Finance,Online Lending Platform,Bangalore,Others,Private Equity,709.224,12,2018
02-12-2018,Wydr,Consumer Internet,B2B Marketplace,Gurgaon,Bessemer Venture Partners,Private Equity,0,12,2018
02-12-2018,Wydr,Consumer Internet,B2B Marketplace,Gurgaon,Stellaris Venture Partners,Private Equity,0,12,2018
02-12-2018,Wydr,Consumer Internet,B2B Marketplace,Gurgaon,Jungle Ventures,Private Equity,0,12,2018
02-12-2018,Wydr,Consumer Internet,B2B Marketplace,Gurgaon,Axis Capital,Private Equity,0,12,2018
02-12-2018,Cashify,eCommerce,Online Selling,Gurgaon,Trifecta Capital Advisors LLP,Debt Funding,7.623,12,2018
13-02-2018,HolaChef,Food and Beverage,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed/ Angel Funding,2.537,2,2018
13-02-2018,Awaaz De,Technology,Mobile Solutions for Social Impact,Ahmedabad,Tribe Impact Capital LLP,Seed/ Angel Funding,0,2,2018
13-02-2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bangalore,Michael,Private Equity,110.052,2,2018
13-02-2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bangalore,Susan Dell Foundation,Private Equity,110.052,2,2018
13-02-2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bangalore,LGT Impact Ventures,Private Equity,110.052,2,2018
14-02-2018,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,24.456,2,2018
14-02-2018,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital,Private Equity,0.815,2,2018
14-02-2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,Dewang Neralla,Private Equity,4.076,2,2018
14-02-2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,Mahesh Kothurkar,Private Equity,4.076,2,2018
14-02-2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,Atul Agarwal,Private Equity,4.076,2,2018
14-02-2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,S7 Group,Private Equity,40.76,2,2018
15-02-2018,PetSutra,Consumer Internet,Online Pet Care Products,Gurgaon,Michael Patrick Hickey,Seed/ Angel Funding,1.21,2,2018
15-02-2018,Infibeam,eCommerce,Online Retailing,Ahmedabad,Network 18,Private Equity,50.787,2,2018
16-02-2018,happay,Finance,Expense Management,Bangalore,Sequoia Capital,Seed/ Angel Funding,2.038,2,2018
16-02-2018,happay,Finance,Expense Management,Bangalore,Jerry Yang,Seed/ Angel Funding,2.038,2,2018
16-02-2018,Fincash,Finance,FinTech,Mumbai,Mohammed Khan,Seed/ Angel Funding,1.223,2,2018
16-02-2018,Fincash,Finance,FinTech,Mumbai,Sameer Narayan,Seed/ Angel Funding,1.223,2,2018
16-02-2018,Fincash,Finance,FinTech,Mumbai,Others,Seed/ Angel Funding,1.223,2,2018
19-02-2018,Aye Finance,Finance,Online Lending,Gurgaon,Hinduja Leyl,Private Equity,30.978,2,2018
19-02-2018,Aye Finance,Finance,Online Lending,Gurgaon,Finance,Private Equity,30.978,2,2018
19-02-2018,Aye Finance,Finance,Online Lending,Gurgaon,IntelleGrow,Private Equity,30.978,2,2018
20-02-2018,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed/ Angel Funding,4.076,2,2018
21-02-2018,Udaan,eCommerce,B2B Marketplace,Bangalore,Lightspeed US,Private Equity,407.6,2,2018
21-02-2018,Udaan,eCommerce,B2B Marketplace,Bangalore,Yuri Milner,Private Equity,407.6,2,2018
21-02-2018,Capillary,IT,SaaS,Bangalore,Wargburg Pincus,Private Equity,163.04,2,2018
21-02-2018,Capillary,IT,SaaS,Bangalore,Sequoia Capital,Private Equity,163.04,2,2018
21-02-2018,The Healthy Billions,Healthcare,Analytics,Gurgaon,Blume Ventures,Private Equity,17.119,2,2018
21-02-2018,The Healthy Billions,Healthcare,Analytics,Gurgaon,HealthQuad Advisors Private Limited,Private Equity,17.119,2,2018
21-02-2018,The Healthy Billions,Healthcare,Analytics,Gurgaon,Fireside Ventures,Private Equity,17.119,2,2018
21-02-2018,High Radius,Technology,Cloud-based Software,Hyderabad,PNC,Private Equity,0,2,2018
21-02-2018,High Radius,Technology,Cloud-based Software,Hyderabad,Citi Ventures,Private Equity,0,2,2018
26-02-2018,Avishkaar Box,Ed-Tech,Education,New Delhi,Auxano Deals,Private Equity,6.297,2,2018
26-02-2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,Kris Gopalakrishnan,Private Equity,8.478,2,2018
26-02-2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,Prathithi Investment Trust,Private Equity,8.478,2,2018
26-02-2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,MEMG Family Office,Private Equity,8.478,2,2018
26-02-2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,S Gopal,Private Equity,8.478,2,2018
27-02-2018,Lollypop,Technology,Digital Design,Bangalore,Dr Devi Shetty,Seed/ Angel Funding,0,2,2018
27-02-2018,Trilyo,Technology,AI platform for hospitality industry,Mumbai,Startup Buddy,Seed/ Angel Funding,2.038,2,2018
27-02-2018,Trilyo,Technology,AI platform for hospitality industry,Mumbai,Amit Manocha,Seed/ Angel Funding,2.038,2,2018
27-02-2018,Trilyo,Technology,AI platform for hospitality industry,Mumbai,Others,Seed/ Angel Funding,2.038,2,2018
28-02-2018,Gaana,Technology,Online Music Streaming,Gurgaon,Tencent Holdings,Private Equity,937.48,2,2018
28-02-2018,Gaana,Technology,Online Music Streaming,Gurgaon,Times Internet,Private Equity,937.48,2,2018
28-02-2018,Credy,IT,SaaS,Bangalore,Y Combinator,Seed/ Angel Funding,11.413,2,2018
28-02-2018,Credy,IT,SaaS,Bangalore,Khosla Ventures,Seed/ Angel Funding,11.413,2,2018
28-02-2018,Credy,IT,SaaS,Bangalore,Vy Capital,Seed/ Angel Funding,11.413,2,2018
28-02-2018,Credy,IT,SaaS,Bangalore,Others,Seed/ Angel Funding,11.413,2,2018
28-02-2018,Predible Health,Healthcare,Cancer radiology,Bangalore,Unitus Seed Fund,Seed/ Angel Funding,0,2,2018
01-02-2018,CleverTap,Technology,Mobile App Analytics,Mumbai,Recruit Holdings,Seed/ Angel Funding,0,2,2018
01-02-2018,CleverTap,Technology,Mobile App Analytics,Mumbai,Sequoia Capital India,Seed/ Angel Funding,0,2,2018
01-02-2018,CleverTap,Technology,Mobile App Analytics,Mumbai,Accel Partners,Seed/ Angel Funding,0,2,2018
01-04-2018,Early Salary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,127.986,4,2018
01-05-2018,WOTU,eCommerce,Food and Beverages,Bangalore,Claris Capital,Seed/ Angel Funding,0,5,2018
01-05-2018,WOTU,eCommerce,Food and Beverages,Bangalore,Mumbai Angels,Seed/ Angel Funding,0,5,2018
01-08-2018,DAAKI,eCommerce,Sports Nutrition Supplement etailer,Bangalore,Rohan Agila,Seed/ Angel Funding,0,8,2018
01-09-2018,LendingKart,Finance,Online Lending,Ahmedabad,Nederl,Debt Funding,38.314,9,2018
01-09-2018,LendingKart,Finance,Online Lending,Ahmedabad,se Financierings-Maatschappij voor Ontwikkelingsl,Debt Funding,38.314,9,2018
01-09-2018,LendingKart,Finance,Online Lending,Ahmedabad,en N.V.,Debt Funding,38.314,9,2018
01-10-2018,Tapzo,Technology,Personal Assistant,Bangalore,RuNet,Private Equity,15.733,10,2018
01-10-2018,Tapzo,Technology,Personal Assistant,Bangalore,Other,Private Equity,15.733,10,2018
01-10-2018,Appario Retail Pvt Ltd.,eCommerce,Retail,New Delhi,Amazon-Patni JV,Private Equity,153.584,10,2018
01-10-2018,Samunnati,Finance,Agricultural Loan,Chennai,ResponsAbility,Private Equity,191.572,10,2018
01-10-2018,Samunnati,Finance,Agricultural Loan,Chennai,Elevar Equity,Private Equity,191.572,10,2018
01-10-2018,Samunnati,Finance,Agricultural Loan,Chennai,Accel Partners,Private Equity,191.572,10,2018
01-10-2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,295.347,10,2018
01-12-2018,Kuants,Technology,Algorithmic Trading,Gurgaon,Pankaj Chopra,Seed/ Angel Funding,0.652,12,2018
01-12-2018,Kuants,Technology,Algorithmic Trading,Gurgaon,Ankush Gupta,Seed/ Angel Funding,0.652,12,2018
01-12-2018,Razorpay,Technology,Payment Gateway,Bangalore,Tiger Global Management,Private Equity,163.04,12,2018
01-12-2018,Razorpay,Technology,Payment Gateway,Bangalore,Y Combinator,Private Equity,163.04,12,2018
15-01-2018,Streak,Technology,Algorithmic Trading,Bangalore,Indian fintech fund,Seed/ Angel Funding,2.891,1,2018
15-01-2018,Streak,Technology,Algorithmic Trading,Bangalore,Rainmatter,Seed/ Angel Funding,2.891,1,2018
15-01-2018,Pi Ventures,Finance,Venture Capital,Bangalore,Sunil Kant Munjal,Private Equity,203.8,1,2018
15-01-2018,Pi Ventures,Finance,Venture Capital,Bangalore,Hero Electronix corporate financing arm,Private Equity,203.8,1,2018
15-01-2018,Pi Ventures,Finance,Venture Capital,Bangalore,Electronic Development Fund,Private Equity,203.8,1,2018
15-01-2018,Newgen Software,Technology,IT,New Delhi,Goldman Sachs,Private Equity,163.04,1,2018
15-01-2018,Newgen Software,Technology,IT,New Delhi,hedge fund,Private Equity,163.04,1,2018
15-01-2018,Newgen Software,Technology,IT,New Delhi,Others,Private Equity,163.04,1,2018
17-01-2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,8.152,1,2018
18-01-2018,ShareChat,Technology,Social,Bangalore,Xiaomi Singapore,Private Equity,148.366,1,2018
18-01-2018,ShareChat,Technology,Social,Bangalore,Shunwei Capital,Private Equity,148.366,1,2018
22-01-2018,Paperflite,Technology,IT,Chennai,The Chennai Angels,Seed/ Angel Funding,3.261,1,2018
22-01-2018,HungerBox,Consumer Internet,Food and Beverages,Bangalore,LionRock Capital,Private Equity,20.38,1,2018
22-01-2018,Skillate,Technology,Artificial Intelligence,Bangalore,Incubate Fund India,Private Equity,0,1,2018
22-01-2018,Skillate,Technology,Artificial Intelligence,Bangalore,Anuj Agrawal,Private Equity,0,1,2018
22-01-2018,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,32.608,1,2018
22-01-2018,AEON Learning,Technology,Education,Bangalore,Dr. Ranjan Pai,Private Equity,26.086,1,2018
23-01-2018,MilkBasket,eCommerce,Online Grocery,Gurgaon,Unilever Ventures,Private Equity,24.456,1,2018
24-01-2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,LeapFrog Investments,Private Equity,383.144,1,2018
24-01-2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,Aspada Investment Advisors,Private Equity,383.144,1,2018
24-01-2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,Quona Capital,Private Equity,383.144,1,2018
24-01-2018,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance Pvt. Ltd,Structured Debt,70.107,1,2018
24-01-2018,Aye Finance,Finance,Online Lending,Gurgaon,IFMR Capital Finance,Term Loan,50.868,1,2018
25-01-2018,Glassic,eCommerce,Eyewear,Bangalore,The Chennai Angels,Seed/ Angel Funding,0,1,2018
25-01-2018,Glassic,eCommerce,Eyewear,Bangalore,Lead Angels,Seed/ Angel Funding,0,1,2018
25-01-2018,Glassic,eCommerce,Eyewear,Bangalore,LetsVenture Angel Fund,Seed/ Angel Funding,0,1,2018
25-01-2018,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,8.152,1,2018
26-01-2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bangalore,RNT Capital,Private Equity,60.325,1,2018
29-01-2018,eKincare,Healthcare,Technology,Hyderabad,VentureEast,Private Equity,12.228,1,2018
29-01-2018,eKincare,Healthcare,Technology,Hyderabad,Endiya Partners,Private Equity,12.228,1,2018
29-01-2018,eKincare,Healthcare,Technology,Hyderabad,Eight Roads Ventures India,Private Equity,12.228,1,2018
29-01-2018,eKincare,Healthcare,Technology,Hyderabad,Touchstone Equities,Private Equity,12.228,1,2018
29-01-2018,eKincare,Healthcare,Technology,Hyderabad,BVR Mohan Reddy,Private Equity,12.228,1,2018
29-01-2018,The Wedding Brigade,Consumer Internet,Online Services,Mumbai,Blume Ventures,Private Equity,8.152,1,2018
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurgaon,Shivani Singh,Private Equity,8.152,1,2018
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurgaon,Rahul Maroli,Private Equity,8.152,1,2018
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurgaon,Mitesh Shah,Private Equity,8.152,1,2018
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurgaon,Venture Catalysts,Private Equity,8.152,1,2018
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurgaon,Alfa Capital,Private Equity,8.152,1,2018
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurgaon,Green Shots Capital,Private Equity,8.152,1,2018
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurgaon,Real Time Ventures,Private Equity,8.152,1,2018
30-01-2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,407.6,1,2018
30-01-2018,Scapic,Technology,Virtual Reality,Bangalore,Axilor Ventures,Seed/ Angel Funding,4.076,1,2018
30-01-2018,Scapic,Technology,Virtual Reality,Bangalore,Newfort Capital,Seed/ Angel Funding,4.076,1,2018
30-01-2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,61.955,1,2018
30-01-2018,CureFit,Healthcare,Fitness,Bangalore,HDFC Bank,Debt Funding,81.52,1,2018
30-01-2018,CureFit,Healthcare,Fitness,Bangalore,Axis Bank,Debt Funding,81.52,1,2018
31-01-2018,iNurture,Technology,Education Solutions,Bangalore,VentureEast,Private Equity,35.869,1,2018
12-01-2017,Strata Enviro,Technology,IoT based air pollution controller,Mumbai,Scale Minds,Private Equity,0,1,2017
12-05-2017,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,100.27,5,2017
12-05-2017,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,187.496,5,2017
12-05-2017,HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,8.152,5,2017
12-05-2017,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/ Angel Funding,4.076,5,2017
12-06-2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,APIS Partners,Private Equity,489.12,6,2017
12-06-2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,Eight Roads Ventures India,Private Equity,489.12,6,2017
12-06-2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,Bamboo Capital Partners,Private Equity,489.12,6,2017
12-06-2017,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox Ventures,Private Equity,57.064,6,2017
12-07-2017,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,81.52,7,2017
12-07-2017,The Label Life,eCommerce,Home Decor and Online Fashion Portal,Mumbai,Kalpavriksh,Private Equity,25.271,7,2017
12-07-2017,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/ Angel Funding,6.114,7,2017
12-07-2017,eShakti,eCommerce,Women Fashion Clothing Online Platform,Chennai,IDG Ventures,Debt Funding,18.75,7,2017
12-08-2017,Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global Management,Private Equity,40.76,8,2017
12-11-2017,Vahdam Tea,eCommerce,Online Platform Selling Indian Tea Globally,New Delhi,Singapore Angel Network,Private Equity,12.228,11,2017
12-11-2017,Vahdam Tea,eCommerce,Online Platform Selling Indian Tea Globally,New Delhi,Mumbai Angels,Private Equity,12.228,11,2017
12-11-2017,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/ Angel Funding,0.408,11,2017
12-11-2017,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bangalore,Village Capital,Seed/ Angel Funding,0.408,11,2017
12-11-2017,Furlenco,Technology,Furniture Rental Platform,Bangalore,Aamir Khan,Debt Funding,9.782,11,2017
12-12-2017,I Can Stay,Technology,Hotel Aggregator Platform,New Delhi,HT Media,Private Equity,14.674,12,2017
12-12-2017,Fracktal Works,Technology,Platform based on 3D printing and Digital Manufacturing,Bangalore,Hyderabad Angels,Seed/ Angel Funding,0,12,2017
12-12-2017,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,142.66,12,2017
12-12-2017,Shopholix,eCommerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/ Angel Funding,1.899,12,2017
13-12-2017,MindTickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,220.104,12,2017
13-12-2017,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,220.104,12,2017
13-12-2017,DocsApp,Technology,Mobile Application for Doctor Consultation,Bangalore,Bessemer Venture Partners,Private Equity,58.694,12,2017
13-12-2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,Mohan Tanksale,Private Equity,0,12,2017
13-12-2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,Kiran Shetty,Private Equity,0,12,2017
13-12-2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,Darshak Shah,Private Equity,0,12,2017
13-12-2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,M,Private Equity,0,12,2017
13-12-2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,ar Mhatre,Private Equity,0,12,2017
14-12-2017,Teabox,eCommerce,Fresh Indian Tea Selling Platform across 112 countries,Bangalore,RB Investments,Private Equity,57.064,12,2017
14-12-2017,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bangalore,Matrix Partners,Private Equity,48.912,12,2017
14-12-2017,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners,Seed/ Angel Funding,2.038,12,2017
14-12-2017,HomeLane,eCommerce,Online Furniture Marketplace,Bangalore,Accel Partners,Private Equity,81.52,12,2017
14-12-2017,HomeLane,eCommerce,Online Furniture Marketplace,Bangalore,Sequoia Capital,Private Equity,81.52,12,2017
14-12-2017,HomeLane,eCommerce,Online Furniture Marketplace,Bangalore,RB Investments,Private Equity,81.52,12,2017
14-12-2017,WeDoSky,Technology,Provides Business Insights using Drone Imaginary,New Delhi,Mumbai Angels,Private Equity,0,12,2017
15-12-2017,Purplle,eCommerce,Beauty Products Online Marketplace,Mumbai,Mountain Pine Capital,Seed/ Angel Funding,4.378,12,2017
15-12-2017,Purplle,eCommerce,Beauty Products Online Marketplace,Mumbai,Suncoast Investments,Seed/ Angel Funding,4.378,12,2017
18-12-2017,Sky Met Weather,Technology,Weather Forecast Platform,Noida,InsuResillience Investment Fund,Private Equity,0,12,2017
19-12-2017,Springboard,Technology,Online Courses and Mentoring from Experts,Bangalore,Costanoa,Private Equity,77.444,12,2017
19-12-2017,Springboard,Technology,Online Courses and Mentoring from Experts,Bangalore,Learn Capital,Private Equity,77.444,12,2017
19-12-2017,Springboard,Technology,Online Courses and Mentoring from Experts,Bangalore,Jyoti Bansal,Private Equity,77.444,12,2017
19-12-2017,Peel Works,Technology,SaaS based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,0,12,2017
19-12-2017,9Stacks,Technology,Online Poker Platform,New Delhi,Swati Gupta,Private Equity,12.228,12,2017
19-12-2017,9Stacks,Technology,Online Poker Platform,New Delhi,Purnima Kh,Private Equity,12.228,12,2017
19-12-2017,9Stacks,Technology,Online Poker Platform,New Delhi,elwal,Private Equity,12.228,12,2017
19-12-2017,9Stacks,Technology,Online Poker Platform,New Delhi,Maheshwar Peri,Private Equity,12.228,12,2017
19-12-2017,9Stacks,Technology,Online Poker Platform,New Delhi,Sanjay Singh,Private Equity,12.228,12,2017
20-12-2017,Your Quote,Technology,Vernacular and Video Content Platform,Bangalore,Axilor Ventures,Private Equity,8.152,12,2017
20-12-2017,Your Quote,Technology,Vernacular and Video Content Platform,Bangalore,E-City VEntures Atul Goel,Private Equity,8.152,12,2017
20-12-2017,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,Kedaraa Capital,Private Equity,158.964,12,2017
20-12-2017,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,Ontario Teachers,Private Equity,158.964,12,2017
21-12-2017,Indus OS,Technology,Regional Operating System for Smartphones,Mumbai,Omidiyar Network,Private Equity,32.608,12,2017
21-12-2017,EasyEcom,eCommerce,Ecommerce enabler platform,Bangalore,Ambarish Gupta,Seed/ Angel Funding,1.223,12,2017
21-12-2017,EasyEcom,eCommerce,Ecommerce enabler platform,Bangalore,Aneesh Reddy,Seed/ Angel Funding,1.223,12,2017
21-12-2017,EasyEcom,eCommerce,Ecommerce enabler platform,Bangalore,Bold Ventures,Seed/ Angel Funding,1.223,12,2017
21-12-2017,EasyEcom,eCommerce,Ecommerce enabler platform,Bangalore,Vona Investments,Seed/ Angel Funding,1.223,12,2017
21-12-2017,IGP.com,eCommerce,Online Gifting platform,Uttar Pradesh,Venture Catalysts,Private Equity,0,12,2017
26-12-2017,Specsmakers,eCommerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,81.52,12,2017
27-12-2017,Garage On Road,eCommerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,0,12,2017
27-12-2017,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,30.978,12,2017
11-02-2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,Manish Poddar,Seed Funding,4.647,2,2017
11-02-2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,Arun Garg,Seed Funding,4.647,2,2017
11-02-2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,Parmeshwar Sharma,Seed Funding,4.647,2,2017
11-02-2017,AadharAPI.com,Technology,Aadhaar-based API provider,Pune,CIO Angel Network (CAN),Seed Funding,0,2,2017
11-02-2017,FreshBoxx,eCommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,0,2,2017
11-03-2017,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,8.152,3,2017
11-03-2017,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,Kae Capital Management,Seed Funding,0,3,2017
11-03-2017,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,Nazara Technologies,Seed Funding,0,3,2017
11-03-2017,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,4.076,3,2017
11-04-2017,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,8.152,4,2017
11-06-2017,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,0,6,2017
11-06-2017,Leverage Edu,eCommerce,Online platform for Higher Education Services,New Delhi,Alok Mittal,Seed Funding,0,6,2017
11-06-2017,Leverage Edu,eCommerce,Online platform for Higher Education Services,New Delhi,Deepak Jain,Seed Funding,0,6,2017
11-06-2017,Leverage Edu,eCommerce,Online platform for Higher Education Services,New Delhi,Ritesh Malik,Seed Funding,0,6,2017
11-06-2017,Leverage Edu,eCommerce,Online platform for Higher Education Services,New Delhi,Jim Schimdktke,Seed Funding,0,6,2017
11-07-2017,Crayon Data,Technology,Customer Engagement Platform,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,0,7,2017
11-07-2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,Matrix Partners,Private Equity,40.76,7,2017
11-07-2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,Khosla Ventures,Private Equity,40.76,7,2017
11-07-2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,Titan Co Ltd,Private Equity,40.76,7,2017
11-07-2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,Tata Group watch,Private Equity,40.76,7,2017
11-07-2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,jewellery retailing firm,Private Equity,40.76,7,2017
11-08-2017,TalentEdge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,61.955,8,2017
11-08-2017,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital,Private Equity,24.456,8,2017
11-08-2017,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,Pioneering Ventures,Private Equity,24.456,8,2017
11-08-2017,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,Syngenta AG,Private Equity,24.456,8,2017
11-08-2017,OpenApp,Technology,IoT based Tech Startup,Bangalore,Axilor Ventures,Private Equity,29.347,8,2017
11-08-2017,OpenApp,Technology,IoT based Tech Startup,Bangalore,Kumar Vembu,Private Equity,29.347,8,2017
11-09-2017,NoPaperForms,Technology,Enrolment Management Platform,New Delhi,InfoEdge,Seed Funding,7.109,9,2017
